instance_id,exit_status,steps,trace_tokens,billed_tokens,cost_usd,correct
astropy-0,Submitted,2,2490,2490,0.0,
astropy-2,Submitted,8,13456,13456,0.0,
astropy-4,Submitted,3,4563,4563,0.0,
astropy-5,Submitted,4,4031,4031,0.0,
astropy-6,Submitted,5,7355,7355,0.0,
astropy-1,Submitted,35,108960,108960,0.0,
astropy-8,Submitted,29,317242,317242,0.0,
astropy-3,Submitted,45,250485,250485,0.0,
astropy-11,Submitted,5,4761,4761,0.0,
astropy-7,Submitted,45,214993,214993,0.0,
astropy-12,Submitted,5,6818,6818,0.0,
astropy-13,Submitted,17,29400,29400,0.0,
astropy-9,Submitted,48,217095,217095,0.0,
astropy-10,Submitted,34,170850,170850,0.0,
astropy-17,Submitted,9,14445,14445,0.0,
astropy-16,Submitted,28,152230,152230,0.0,
astropy-14,Submitted,53,240329,240329,0.0,
astropy-18,Submitted,3,4411,4411,0.0,
astropy-15,Submitted,46,170150,170150,0.0,
astropy-21,Submitted,2,2023,2023,0.0,
astropy-22,Submitted,13,31666,31666,0.0,
astropy-20,Submitted,21,36432,36432,0.0,
astropy-23,Submitted,23,43059,43059,0.0,
astropy-26,Submitted,3,3325,3325,0.0,
astropy-24,Submitted,19,47826,47826,0.0,
astropy-27,Submitted,11,23638,23638,0.0,
astropy-29,Submitted,5,4320,4320,0.0,
astropy-30,Submitted,1,648,648,0.0,
astropy-31,Submitted,1,625,625,0.0,
astropy-25,Submitted,29,77419,77419,0.0,
astropy-32,Submitted,1,670,670,0.0,
astropy-33,Submitted,3,2275,2275,0.0,
astropy-28,Submitted,29,137717,137717,0.0,
astropy-35,Submitted,1,701,701,0.0,
astropy-34,Submitted,6,7440,7440,0.0,
astropy-19,Submitted,59,244822,244822,0.0,
astropy-37,Submitted,7,8573,8573,0.0,
astropy-38,Submitted,12,27259,27259,0.0,
astropy-40,OSError,3,7839,7839,0.0,
astropy-36,Submitted,39,201124,201124,0.0,
astropy-39,Submitted,43,232324,232324,0.0,
astropy-41,Submitted,18,38248,38248,0.0,
astropy-44,Submitted,4,7176,7176,0.0,
astropy-43,Submitted,6,8401,8401,0.0,
astropy-47,Submitted,5,9360,9360,0.0,
astropy-42,Submitted,47,160572,160572,0.0,
astropy-46,Submitted,16,30498,30498,0.0,
conan-0,Submitted,4,7942,7942,0.0,
astropy-45,Submitted,28,113863,113863,0.0,
conan-3,Submitted,1,2886,2886,0.0,
conan-4,Submitted,1,2227,2227,0.0,
conan-2,Submitted,21,69553,69553,0.0,
conan-6,Submitted,15,29404,29404,0.0,
conan-1,Submitted,35,154913,154913,0.0,
conan-9,Submitted,3,2597,2597,0.0,
conan-10,Submitted,5,10028,10028,0.0,
conan-7,Submitted,40,175708,175708,0.0,
