instance_id,exit_status,steps,trace_tokens,billed_tokens,cost_usd,correct,tools_prompt
astropy-2,Submitted,20,49000,49000,0.0,,neutral
astropy-3,Submitted,42,298878,298878,0.0,,neutral
astropy-1,Submitted,41,174206,174206,0.0,,neutral
astropy-0,Submitted,27,152660,152660,0.0,,neutral
astropy-4,Submitted,13,38448,38448,0.0,,neutral
astropy-5,Submitted,26,89909,89909,0.0,,neutral
astropy-6,Submitted,27,97567,97567,0.0,,neutral
astropy-7,Submitted,10,29746,29746,0.0,,neutral
astropy-8,Submitted,30,70557,70557,0.0,,neutral
astropy-11,Submitted,5,7333,7333,0.0,,neutral
astropy-9,Submitted,33,132373,132373,0.0,,neutral
astropy-14,Submitted,14,44654,44654,0.0,,neutral
astropy-10,Submitted,49,237612,237612,0.0,,neutral
astropy-12,Submitted,51,270536,270536,0.0,,neutral
astropy-13,Submitted,24,201472,201472,0.0,,neutral
astropy-15,Submitted,33,140076,140076,0.0,,neutral
astropy-16,Submitted,25,71540,71540,0.0,,neutral
astropy-17,Submitted,22,81064,81064,0.0,,neutral
astropy-21,Submitted,5,10844,10844,0.0,,neutral
astropy-19,Submitted,26,87812,87812,0.0,,neutral
astropy-18,Submitted,45,171110,171110,0.0,,neutral
astropy-20,Submitted,44,332837,332837,0.0,,neutral
astropy-24,Submitted,6,13355,13355,0.0,,neutral
astropy-25,Submitted,13,24095,24095,0.0,,neutral
astropy-22,Submitted,33,290537,290537,0.0,,neutral
astropy-26,Submitted,34,118450,118450,0.0,,neutral
astropy-27,Submitted,25,103519,103519,0.0,,neutral
astropy-28,Submitted,33,147007,147007,0.0,,neutral
astropy-23,Submitted,56,405420,405420,0.0,,neutral
astropy-30,Submitted,4,5352,5352,0.0,,neutral
astropy-29,Submitted,42,323394,323394,0.0,,neutral
astropy-32,Submitted,42,164600,164600,0.0,,neutral
astropy-31,Submitted,36,195771,195771,0.0,,neutral
astropy-33,Submitted,34,121224,121224,0.0,,neutral
astropy-37,Submitted,5,14918,14918,0.0,,neutral
astropy-36,Submitted,25,122262,122262,0.0,,neutral
astropy-39,Submitted,14,56378,56378,0.0,,neutral
astropy-34,Submitted,66,528349,528349,0.0,,neutral
astropy-38,Submitted,23,115313,115313,0.0,,neutral
astropy-35,Submitted,39,290397,290397,0.0,,neutral
astropy-43,Submitted,8,20808,20808,0.0,,neutral
astropy-42,Submitted,12,45879,45879,0.0,,neutral
astropy-40,Submitted,28,139670,139670,0.0,,neutral
astropy-44,Submitted,4,10776,10776,0.0,,neutral
astropy-46,Submitted,9,23831,23831,0.0,,neutral
astropy-45,Submitted,18,137450,137450,0.0,,neutral
astropy-41,Submitted,38,309773,309773,0.0,,neutral
conan-0,Submitted,6,18236,18236,0.0,,neutral
astropy-47,Submitted,21,136512,136512,0.0,,neutral
conan-4,Submitted,4,9073,9073,0.0,,neutral
conan-2,Submitted,24,134428,134428,0.0,,neutral
conan-3,Submitted,34,309015,309015,0.0,,neutral
conan-1,Submitted,45,429735,429735,0.0,,neutral
conan-6,Submitted,36,377197,377197,0.0,,neutral
conan-9,Submitted,8,33005,33005,0.0,,neutral
conan-5,Submitted,50,564923,564923,0.0,,neutral
conan-8,Submitted,43,459743,459743,0.0,,neutral
conan-10,Submitted,8,46703,46703,0.0,,neutral
conan-7,Submitted,51,633701,633701,0.0,,neutral
conan-14,Submitted,4,12723,12723,0.0,,neutral
conan-11,Submitted,37,442495,442495,0.0,,neutral
conan-12,Submitted,25,287912,287912,0.0,,neutral
conan-15,Submitted,11,41717,41717,0.0,,neutral
conan-16,Submitted,9,46537,46537,0.0,,neutral
conan-17,Submitted,8,32756,32756,0.0,,neutral
conan-13,Submitted,35,441323,441323,0.0,,neutral
conan-21,Submitted,5,12931,12931,0.0,,neutral
conan-18,Submitted,29,269009,269009,0.0,,neutral
conan-22,Submitted,6,25247,25247,0.0,,neutral
conan-20,Submitted,39,283271,283271,0.0,,neutral
conan-19,Submitted,44,446266,446266,0.0,,neutral
conan-23,Submitted,53,507067,507067,0.0,,neutral
conan-24,Submitted,24,253431,253431,0.0,,neutral
conan-25,Submitted,14,103276,103276,0.0,,neutral
conan-27,Submitted,9,35914,35914,0.0,,neutral
conan-26,Submitted,37,317100,317100,0.0,,neutral
conan-29,Submitted,16,90215,90215,0.0,,neutral
conan-30,Submitted,4,8944,8944,0.0,,neutral
conan-28,Submitted,20,134367,134367,0.0,,neutral
conan-32,Submitted,5,11582,11582,0.0,,neutral
conan-31,Submitted,16,173944,173944,0.0,,neutral
conan-34,Submitted,13,59199,59199,0.0,,neutral
conan-35,Submitted,23,100153,100153,0.0,,neutral
conan-33,Submitted,26,204560,204560,0.0,,neutral
conan-36,Submitted,13,76933,76933,0.0,,neutral
conan-37,Submitted,7,27009,27009,0.0,,neutral
conan-40,Submitted,6,13473,13473,0.0,,neutral
conan-39,Submitted,4,13848,13848,0.0,,neutral
conan-38,Submitted,42,265978,265978,0.0,,neutral
conan-41,Submitted,24,107941,107941,0.0,,neutral
conan-42,Submitted,15,74785,74785,0.0,,neutral
conan-45,Submitted,9,30941,30941,0.0,,neutral
conan-46,Submitted,32,218425,218425,0.0,,neutral
