instance_id,exit_status,steps,trace_tokens,billed_tokens,cost_usd,correct,tools_prompt
astropy-0,Submitted,21,61197,61197,0.0,,search_fallback
astropy-2,Submitted,33,87651,87651,0.0,,search_fallback
astropy-1,Submitted,31,129455,129455,0.0,,search_fallback
astropy-3,Submitted,40,157358,157358,0.0,,search_fallback
astropy-4,Submitted,20,43244,43244,0.0,,search_fallback
astropy-5,Submitted,36,145905,145905,0.0,,search_fallback
astropy-7,Submitted,32,76197,76197,0.0,,search_fallback
astropy-6,Submitted,43,360191,360191,0.0,,search_fallback
astropy-10,Submitted,5,7783,7783,0.0,,search_fallback
astropy-8,Submitted,34,140490,140490,0.0,,search_fallback
astropy-12,Submitted,29,87270,87270,0.0,,search_fallback
astropy-9,Submitted,45,309449,309449,0.0,,search_fallback
astropy-11,Submitted,47,181888,181888,0.0,,search_fallback
astropy-15,Submitted,35,84184,84184,0.0,,search_fallback
astropy-14,Submitted,42,212858,212858,0.0,,search_fallback
astropy-16,Submitted,32,202756,202756,0.0,,search_fallback
astropy-17,Submitted,16,29345,29345,0.0,,search_fallback
astropy-13,Submitted,81,579417,579417,0.0,,search_fallback
astropy-18,Submitted,40,145132,145132,0.0,,search_fallback
astropy-22,Submitted,8,12512,12512,0.0,,search_fallback
astropy-21,Submitted,22,61353,61353,0.0,,search_fallback
astropy-20,Submitted,55,337750,337750,0.0,,search_fallback
astropy-23,Submitted,3,7332,7332,0.0,,search_fallback
astropy-24,Submitted,31,98446,98446,0.0,,search_fallback
astropy-25,Submitted,29,81798,81798,0.0,,search_fallback
astropy-26,Submitted,33,116537,116537,0.0,,search_fallback
astropy-19,Submitted,68,535315,535315,0.0,,search_fallback
astropy-30,Submitted,5,7386,7386,0.0,,search_fallback
astropy-28,Submitted,35,112364,112364,0.0,,search_fallback
astropy-29,Submitted,28,129864,129864,0.0,,search_fallback
astropy-33,Submitted,21,39975,39975,0.0,,search_fallback
astropy-31,Submitted,52,233239,233239,0.0,,search_fallback
astropy-34,Submitted,27,60657,60657,0.0,,search_fallback
astropy-35,Submitted,20,75296,75296,0.0,,search_fallback
astropy-27,Submitted,65,474078,474078,0.0,,search_fallback
astropy-37,Submitted,15,33247,33247,0.0,,search_fallback
astropy-32,Submitted,75,643057,643057,0.0,,search_fallback
astropy-36,Submitted,42,226296,226296,0.0,,search_fallback
astropy-38,Submitted,35,175221,175221,0.0,,search_fallback
astropy-39,Submitted,50,421855,421855,0.0,,search_fallback
astropy-40,Submitted,42,225649,225649,0.0,,search_fallback
astropy-41,Submitted,40,161157,161157,0.0,,search_fallback
astropy-42,Submitted,37,148824,148824,0.0,,search_fallback
astropy-44,Submitted,8,30490,30490,0.0,,search_fallback
astropy-45,Submitted,8,14678,14678,0.0,,search_fallback
