instance_id,exit_status,steps,trace_tokens,billed_tokens,cost_usd,correct,tools_prompt
astropy-0,Submitted,9,23369,23369,0.0,,search_first
astropy-4,Submitted,6,9393,9393,0.0,,search_first
astropy-1,Submitted,29,120853,120853,0.0,,search_first
astropy-3,Submitted,33,191291,191291,0.0,,search_first
astropy-6,Submitted,5,11076,11076,0.0,,search_first
astropy-2,Submitted,33,238530,238530,0.0,,search_first
astropy-5,Submitted,57,573344,573344,0.0,,search_first
astropy-7,Submitted,16,46048,46048,0.0,,search_first
astropy-8,Submitted,53,410037,410037,0.0,,search_first
astropy-9,Submitted,25,163121,163121,0.0,,search_first
astropy-10,Submitted,29,158408,158408,0.0,,search_first
astropy-12,Submitted,33,102393,102393,0.0,,search_first
astropy-11,Submitted,32,245337,245337,0.0,,search_first
astropy-14,Submitted,12,59689,59689,0.0,,search_first
astropy-13,Submitted,33,267969,267969,0.0,,search_first
astropy-15,Submitted,12,63996,63996,0.0,,search_first
astropy-17,Submitted,6,10609,10609,0.0,,search_first
astropy-16,Submitted,22,97515,97515,0.0,,search_first
astropy-18,Submitted,40,201855,201855,0.0,,search_first
astropy-19,Submitted,26,173961,173961,0.0,,search_first
astropy-21,Submitted,15,117755,117755,0.0,,search_first
astropy-23,Submitted,27,145700,145700,0.0,,search_first
astropy-24,Submitted,32,132139,132139,0.0,,search_first
astropy-20,Submitted,39,394584,394584,0.0,,search_first
astropy-22,Submitted,24,266194,266194,0.0,,search_first
astropy-25,Submitted,37,253110,253110,0.0,,search_first
astropy-26,Submitted,35,225906,225906,0.0,,search_first
astropy-27,Submitted,52,371028,371028,0.0,,search_first
astropy-30,Submitted,9,17264,17264,0.0,,search_first
astropy-29,Submitted,41,416434,416434,0.0,,search_first
astropy-28,Submitted,34,329262,329262,0.0,,search_first
astropy-32,Submitted,20,58646,58646,0.0,,search_first
astropy-35,Submitted,4,5080,5080,0.0,,search_first
astropy-33,Submitted,39,273248,273248,0.0,,search_first
astropy-34,Submitted,38,192736,192736,0.0,,search_first
astropy-36,Submitted,30,268953,268953,0.0,,search_first
astropy-31,Submitted,67,645865,645865,0.0,,search_first
astropy-37,Submitted,21,140563,140563,0.0,,search_first
astropy-39,Submitted,11,27981,27981,0.0,,search_first
astropy-38,Submitted,22,152982,152982,0.0,,search_first
astropy-40,Submitted,45,387199,387199,0.0,,search_first
astropy-43,Submitted,23,127705,127705,0.0,,search_first
astropy-41,Submitted,22,98926,98926,0.0,,search_first
astropy-42,Submitted,38,174512,174512,0.0,,search_first
astropy-44,Submitted,6,19931,19931,0.0,,search_first
conan-0,Submitted,5,12789,12789,0.0,,search_first
astropy-45,Submitted,25,112167,112167,0.0,,search_first
conan-1,Submitted,8,32326,32326,0.0,,search_first
astropy-46,Submitted,17,70389,70389,0.0,,search_first
conan-2,Submitted,9,34533,34533,0.0,,search_first
conan-4,Submitted,10,50444,50444,0.0,,search_first
astropy-47,Submitted,24,211980,211980,0.0,,search_first
conan-5,Submitted,31,473218,473218,0.0,,search_first
conan-6,Submitted,26,232519,232519,0.0,,search_first
conan-3,Submitted,41,673187,673187,0.0,,search_first
conan-7,Submitted,48,514900,514900,0.0,,search_first
conan-10,Submitted,9,95373,95373,0.0,,search_first
conan-11,Submitted,12,79499,79499,0.0,,search_first
conan-9,Submitted,22,308788,308788,0.0,,search_first
conan-12,Submitted,18,158853,158853,0.0,,search_first
conan-14,Submitted,5,11872,11872,0.0,,search_first
conan-8,Submitted,53,767054,767054,0.0,,search_first
conan-16,Submitted,10,54226,54226,0.0,,search_first
conan-17,Submitted,8,40166,40166,0.0,,search_first
conan-13,Submitted,39,505932,505932,0.0,,search_first
conan-15,Submitted,37,413630,413630,0.0,,search_first
conan-19,Submitted,26,217687,217687,0.0,,search_first
conan-22,Submitted,4,10530,10530,0.0,,search_first
conan-21,Submitted,9,33059,33059,0.0,,search_first
conan-24,Submitted,6,20093,23919,0.0,,search_first
conan-20,Submitted,42,515869,515869,0.0,,search_first
conan-18,Submitted,36,564486,596527,0.0,,search_first
conan-25,Submitted,28,182894,182894,0.0,,search_first
conan-27,Submitted,14,110671,110671,0.0,,search_first
conan-28,Submitted,12,38141,38141,0.0,,search_first
conan-23,Submitted,55,737775,737775,0.0,,search_first
