instance_id,exit_status,steps,trace_tokens,billed_tokens,cost_usd,correct,blocked_submission_count,list_symbols_called,radar_called,radar_tool_calls,radar_tool_output_chars,radar_verification_satisfied,tools_prompt
astropy-3,LimitsExceeded,30,128027,128027,0.0,,1,0,True,1,3010,True,neutral
astropy-0,Submitted,30,117633,117633,0.0,,0,0,True,1,3884,True,neutral
astropy-1,LimitsExceeded,30,141693,141693,0.0,,0,0,True,3,8216,False,neutral
astropy-2,LimitsExceeded,30,153341,153341,0.0,,0,0,True,3,7929,False,neutral
astropy-4,Submitted,25,87992,87992,0.0,,1,0,True,1,3056,True,neutral
astropy-5,Submitted,30,154580,154580,0.0,,0,0,True,2,7205,True,neutral
astropy-6,Submitted,24,154413,154413,0.0,,0,0,True,2,5972,True,neutral
astropy-8,Submitted,14,48383,48383,0.0,,1,0,True,2,6778,True,neutral
astropy-9,Submitted,16,64035,64035,0.0,,1,0,True,1,4114,True,neutral
astropy-7,Submitted,30,162758,162758,0.0,,0,0,True,4,14717,True,neutral
astropy-10,LimitsExceeded,30,103320,103320,0.0,,0,0,True,3,2933,True,neutral
astropy-11,LimitsExceeded,30,122143,122143,0.0,,0,0,True,2,7003,False,neutral
astropy-12,Submitted,30,163945,163945,0.0,,0,0,True,2,5233,True,neutral
astropy-13,Submitted,30,163002,163002,0.0,,0,0,True,2,8141,True,neutral
astropy-15,Submitted,30,177444,177444,0.0,,0,0,True,1,3141,True,neutral
astropy-16,Submitted,30,133668,133668,0.0,,0,0,True,2,2893,True,neutral
astropy-14,Submitted,20,81631,81631,0.0,,0,0,True,5,8003,True,neutral
astropy-18,Submitted,30,105532,105532,0.0,,0,0,True,1,2282,True,neutral
astropy-17,LimitsExceeded,30,162088,162088,0.0,,0,0,True,3,7889,True,neutral
astropy-20,Submitted,30,105231,105231,0.0,,0,0,True,1,2456,True,neutral
astropy-21,Submitted,10,37654,37654,0.0,,1,0,True,1,3732,True,neutral
astropy-19,Submitted,30,177066,177066,0.0,,0,0,True,5,10508,True,neutral
astropy-22,Submitted,30,129900,129900,0.0,,0,0,True,2,6796,True,neutral
astropy-23,Submitted,15,80951,80951,0.0,,1,0,True,3,8225,True,neutral
astropy-25,Submitted,30,123159,123159,0.0,,0,0,True,2,4552,True,neutral
astropy-24,Submitted,24,108901,108901,0.0,,1,0,True,5,9819,True,neutral
astropy-26,Submitted,10,39312,39312,0.0,,1,0,True,4,10838,True,neutral
astropy-27,LimitsExceeded,30,105914,105914,0.0,,0,0,True,3,2938,True,neutral
astropy-30,Submitted,12,29220,29220,0.0,,1,0,True,1,2803,True,neutral
astropy-29,LimitsExceeded,30,104595,104595,0.0,,0,0,True,2,3194,True,neutral
astropy-28,Submitted,27,149029,149029,0.0,,1,0,True,4,10072,True,neutral
astropy-32,LimitsExceeded,30,87733,87733,0.0,,0,0,True,2,3192,True,neutral
astropy-35,Submitted,4,5006,5006,0.0,,0,0,False,0,0,,neutral
astropy-31,Submitted,30,183076,183076,0.0,,1,0,True,3,9609,True,neutral
astropy-33,Submitted,30,136098,136098,0.0,,0,0,True,3,10009,True,neutral
astropy-36,Submitted,23,99813,99813,0.0,,0,1,True,1,3043,True,neutral
astropy-34,LimitsExceeded,30,152679,152679,0.0,,0,0,True,3,10521,True,neutral
astropy-37,Submitted,19,93269,93269,0.0,,0,0,True,1,2776,True,neutral
astropy-41,Submitted,22,82969,82969,0.0,,1,0,True,1,3186,True,neutral
astropy-38,Submitted,25,176078,176078,0.0,,0,0,True,5,16784,True,neutral
astropy-39,Submitted,18,120710,120710,0.0,,1,0,True,5,15083,True,neutral
astropy-40,Submitted,30,171645,171645,0.0,,0,0,True,6,11139,True,neutral
