instance_id,exit_status,steps,trace_tokens,billed_tokens,cost_usd,correct
astropy-1,Submitted,8,8456,8456,0.0,
astropy-3,Submitted,15,21324,21324,0.0,
astropy-0,LimitsExceeded,30,91428,91428,0.0,
astropy-2,LimitsExceeded,30,132702,132702,0.0,
astropy-4,Submitted,24,52713,52713,0.0,
astropy-7,Submitted,10,9873,9873,0.0,
astropy-6,Submitted,16,21280,21280,0.0,
astropy-8,Submitted,13,14166,14166,0.0,
astropy-10,Submitted,6,5646,5646,0.0,
astropy-5,LimitsExceeded,30,91204,91204,0.0,
astropy-12,Submitted,8,8053,8053,0.0,
astropy-11,Submitted,11,11487,11487,0.0,
astropy-13,Submitted,7,5574,5574,0.0,
astropy-15,Submitted,4,3359,3359,0.0,
astropy-17,Submitted,1,527,527,0.0,
astropy-14,Submitted,7,6703,6703,0.0,
astropy-16,Submitted,10,9371,9371,0.0,
astropy-20,Submitted,2,1217,1217,0.0,
astropy-18,Submitted,7,6183,6183,0.0,
astropy-22,Submitted,1,514,514,0.0,
astropy-21,Submitted,8,6870,6870,0.0,
astropy-19,Submitted,14,21750,21750,0.0,
astropy-24,Submitted,6,4578,4578,0.0,
astropy-23,Submitted,8,8068,8068,0.0,
astropy-26,Submitted,14,30761,30761,0.0,
astropy-25,LimitsExceeded,30,63444,63444,0.0,
astropy-29,Submitted,3,1709,1709,0.0,
astropy-27,Submitted,25,47308,47308,0.0,
astropy-30,Submitted,3,1954,1954,0.0,
astropy-31,Submitted,4,2657,2657,0.0,
astropy-33,Submitted,10,8960,8960,0.0,
astropy-32,Submitted,13,14101,14101,0.0,
astropy-34,Submitted,11,11076,11076,0.0,
astropy-36,Submitted,5,3851,3851,0.0,
astropy-28,LimitsExceeded,30,131061,131061,0.0,
astropy-37,Submitted,12,13002,13002,0.0,
astropy-38,Submitted,17,27473,27473,0.0,
astropy-35,Submitted,30,68009,68009,0.0,
astropy-40,Submitted,7,5801,5801,0.0,
astropy-41,Submitted,8,15843,15843,0.0,
astropy-42,Submitted,10,10341,10341,0.0,
astropy-39,Submitted,23,72970,72970,0.0,
astropy-44,Submitted,2,1577,1577,0.0,
astropy-43,Submitted,10,9819,9819,0.0,
astropy-47,Submitted,9,8647,8647,0.0,
astropy-46,Submitted,10,13476,13476,0.0,
conan-1,Submitted,1,577,577,0.0,
conan-2,Submitted,3,4309,4309,0.0,
conan-0,Submitted,10,11616,11616,0.0,
conan-4,Submitted,1,562,562,0.0,
conan-3,Submitted,8,8678,8678,0.0,
conan-5,Submitted,8,7991,7991,0.0,
conan-7,Submitted,2,1411,1411,0.0,
astropy-45,LimitsExceeded,30,81008,81008,0.0,
conan-6,Submitted,7,9319,9319,0.0,
conan-9,Submitted,2,1096,1096,0.0,
conan-8,Submitted,5,5678,5678,0.0,
conan-11,Submitted,2,1309,1309,0.0,
