instance_id,exit_status,steps,trace_tokens,billed_tokens,cost_usd,correct,tools_prompt
astropy-3,Submitted,9,9366,9366,0.0,,neutral
astropy-0,LimitsExceeded,30,63250,63250,0.0,,neutral
astropy-1,Submitted,25,140984,140984,0.0,,neutral
astropy-2,LimitsExceeded,30,189517,189517,0.0,,neutral
astropy-5,Submitted,13,37354,37354,0.0,,neutral
astropy-4,LimitsExceeded,30,245113,245113,0.0,,neutral
astropy-6,Submitted,18,64112,64112,0.0,,neutral
astropy-10,Submitted,9,28025,28025,0.0,,neutral
astropy-8,Submitted,21,88433,88433,0.0,,neutral
astropy-12,Submitted,7,6793,6793,0.0,,neutral
astropy-7,LimitsExceeded,30,242070,242070,0.0,,neutral
astropy-9,LimitsExceeded,30,193842,193842,0.0,,neutral
astropy-11,LimitsExceeded,30,92490,92490,0.0,,neutral
astropy-15,Submitted,11,12951,12951,0.0,,neutral
astropy-13,LimitsExceeded,30,95562,95562,0.0,,neutral
astropy-16,Submitted,12,26142,26142,0.0,,neutral
astropy-14,LimitsExceeded,30,137138,137138,0.0,,neutral
astropy-19,Submitted,8,8088,8088,0.0,,neutral
astropy-18,Submitted,18,44651,44651,0.0,,neutral
astropy-21,Submitted,6,8224,8224,0.0,,neutral
astropy-20,Submitted,9,16896,16896,0.0,,neutral
astropy-17,Submitted,28,76055,76055,0.0,,neutral
astropy-23,Submitted,12,13905,13905,0.0,,neutral
astropy-25,Submitted,10,11145,11145,0.0,,neutral
astropy-26,Submitted,14,34274,34274,0.0,,neutral
astropy-24,LimitsExceeded,30,139836,139836,0.0,,neutral
astropy-22,LimitsExceeded,30,350880,350880,0.0,,neutral
astropy-27,Submitted,18,42063,42063,0.0,,neutral
astropy-30,Submitted,14,41876,41876,0.0,,neutral
astropy-31,Submitted,16,47168,47168,0.0,,neutral
astropy-28,LimitsExceeded,30,87664,87664,0.0,,neutral
astropy-29,LimitsExceeded,30,163472,163472,0.0,,neutral
astropy-34,Submitted,14,31174,31174,0.0,,neutral
astropy-32,Submitted,20,71667,71667,0.0,,neutral
astropy-33,Submitted,23,70283,70283,0.0,,neutral
astropy-36,Submitted,7,33157,33157,0.0,,neutral
astropy-37,Submitted,6,25398,25398,0.0,,neutral
astropy-40,Submitted,6,10867,10867,0.0,,neutral
astropy-39,Submitted,19,59414,59414,0.0,,neutral
astropy-41,Submitted,12,22811,22811,0.0,,neutral
astropy-38,LimitsExceeded,30,125239,125239,0.0,,neutral
astropy-35,LimitsExceeded,30,152611,152611,0.0,,neutral
astropy-44,Submitted,6,7827,7827,0.0,,neutral
astropy-46,Submitted,7,21552,21552,0.0,,neutral
astropy-45,Submitted,15,27053,27053,0.0,,neutral
astropy-47,Submitted,3,6764,6764,0.0,,neutral
astropy-42,LimitsExceeded,30,134759,134759,0.0,,neutral
conan-1,Submitted,3,5198,5198,0.0,,neutral
conan-0,Submitted,9,15172,15172,0.0,,neutral
conan-2,Submitted,3,4339,4339,0.0,,neutral
astropy-43,LimitsExceeded,30,139884,139884,0.0,,neutral
conan-4,Submitted,6,6931,6931,0.0,,neutral
conan-3,Submitted,11,20522,20522,0.0,,neutral
conan-6,Submitted,5,10749,10749,0.0,,neutral
conan-5,Submitted,14,33398,33398,0.0,,neutral
conan-7,Submitted,5,10117,10117,0.0,,neutral
conan-9,Submitted,5,25930,25930,0.0,,neutral
conan-10,Submitted,5,9312,9312,0.0,,neutral
conan-8,Submitted,13,22756,22756,0.0,,neutral
conan-12,Submitted,6,15917,15917,0.0,,neutral
conan-13,Submitted,11,69233,69233,0.0,,neutral
conan-11,Submitted,18,94102,94102,0.0,,neutral
conan-14,Submitted,13,16581,16581,0.0,,neutral
conan-15,Submitted,12,60446,60446,0.0,,neutral
conan-16,Submitted,6,16914,16914,0.0,,neutral
conan-20,Submitted,4,6604,6604,0.0,,neutral
conan-21,Submitted,3,3966,3966,0.0,,neutral
conan-17,Submitted,16,34478,34478,0.0,,neutral
conan-22,Submitted,5,8697,8697,0.0,,neutral
conan-19,Submitted,18,91151,91151,0.0,,neutral
conan-23,Submitted,17,30656,30656,0.0,,neutral
conan-24,Submitted,12,65382,65382,0.0,,neutral
conan-25,Submitted,13,68126,68126,0.0,,neutral
conan-18,LimitsExceeded,30,260991,260991,0.0,,neutral
conan-27,Submitted,9,18395,18395,0.0,,neutral
conan-29,Submitted,3,5730,5730,0.0,,neutral
conan-28,Submitted,10,11995,11995,0.0,,neutral
conan-32,Submitted,5,9067,9067,0.0,,neutral
conan-33,Submitted,3,4634,4634,0.0,,neutral
conan-31,OSError,9,23996,23996,0.0,,neutral
conan-30,Submitted,16,73753,73753,0.0,,neutral
conan-26,Submitted,29,215095,215095,0.0,,neutral
conan-34,Submitted,9,40117,40117,0.0,,neutral
conan-36,Submitted,9,33257,33257,0.0,,neutral
conan-38,Submitted,10,29508,29508,0.0,,neutral
conan-35,OSError,16,36769,36769,0.0,,neutral
conan-39,Submitted,11,30524,30524,0.0,,neutral
conan-40,Submitted,7,6700,6700,0.0,,neutral
conan-41,Submitted,12,33312,33312,0.0,,neutral
conan-42,Submitted,18,63511,63511,0.0,,neutral
conan-44,Submitted,9,16810,16810,0.0,,neutral
conan-37,LimitsExceeded,30,277340,277340,0.0,,neutral
conan-43,LimitsExceeded,30,116360,116360,0.0,,neutral
conan-45,Submitted,13,26714,26714,0.0,,neutral
conan-46,Submitted,10,31222,31222,0.0,,neutral
django-1,Submitted,11,12950,12950,0.0,,neutral
django-2,Submitted,9,16058,16058,0.0,,neutral
django-4,Submitted,6,9972,9972,0.0,,neutral
conan-47,Submitted,25,228170,228170,0.0,,neutral
django-0,Submitted,26,118590,118590,0.0,,neutral
django-3,Submitted,24,78150,78150,0.0,,neutral
django-7,OSError,13,31159,31159,0.0,,neutral
django-5,Submitted,22,147163,147163,0.0,,neutral
django-6,LimitsExceeded,30,127057,127057,0.0,,neutral
django-8,Submitted,17,26298,26298,0.0,,neutral
django-12,Submitted,8,11587,11587,0.0,,neutral
django-9,LimitsExceeded,30,128819,128819,0.0,,neutral
django-10,LimitsExceeded,30,65658,65658,0.0,,neutral
django-11,LimitsExceeded,30,72485,72485,0.0,,neutral
django-13,Submitted,19,45258,45258,0.0,,neutral
django-15,Submitted,3,4380,4380,0.0,,neutral
django-14,Submitted,24,110794,110794,0.0,,neutral
django-17,Submitted,17,42776,42776,0.0,,neutral
django-16,Submitted,15,21797,21797,0.0,,neutral
django-18,Submitted,19,53293,53293,0.0,,neutral
django-20,Submitted,7,10662,10662,0.0,,neutral
django-21,Submitted,8,8107,8107,0.0,,neutral
django-23,Submitted,3,4105,4105,0.0,,neutral
django-19,Submitted,22,39146,39146,0.0,,neutral
django-22,Submitted,9,10662,10662,0.0,,neutral
django-26,LimitsExceeded,30,214615,214615,0.0,,neutral
django-25,LimitsExceeded,30,120016,120016,0.0,,neutral
django-24,LimitsExceeded,30,156626,156626,0.0,,neutral
django-28,Submitted,8,7672,7672,0.0,,neutral
django-29,Submitted,7,10624,10624,0.0,,neutral
django-27,LimitsExceeded,30,103435,103435,0.0,,neutral
django-30,Submitted,15,27362,27362,0.0,,neutral
django-31,Submitted,14,58020,58020,0.0,,neutral
django-33,Submitted,17,37765,37765,0.0,,neutral
django-32,LimitsExceeded,30,95213,95213,0.0,,neutral
django-35,Submitted,17,57930,57930,0.0,,neutral
django-34,Submitted,29,164382,164382,0.0,,neutral
django-38,Submitted,11,26006,26006,0.0,,neutral
django-36,LimitsExceeded,30,147072,147072,0.0,,neutral
django-39,LimitsExceeded,30,127039,127039,0.0,,neutral
django-41,Submitted,14,43818,43818,0.0,,neutral
django-37,Submitted,27,124938,124938,0.0,,neutral
django-40,LimitsExceeded,30,176430,176430,0.0,,neutral
django-42,Submitted,12,31061,31061,0.0,,neutral
django-46,Submitted,12,20523,20523,0.0,,neutral
django-44,LimitsExceeded,30,199131,199131,0.0,,neutral
django-43,LimitsExceeded,30,146495,146495,0.0,,neutral
django-45,Submitted,24,45401,45401,0.0,,neutral
flask-0,Submitted,9,29777,29777,0.0,,neutral
flask-1,Submitted,6,12644,12644,0.0,,neutral
flask-3,Submitted,3,3111,3111,0.0,,neutral
flask-2,Submitted,6,16135,16135,0.0,,neutral
flask-4,Submitted,3,4090,4090,0.0,,neutral
flask-5,Submitted,3,5080,5080,0.0,,neutral
flask-7,Submitted,3,4453,4453,0.0,,neutral
flask-8,Submitted,3,5545,5545,0.0,,neutral
flask-6,Submitted,7,16146,16146,0.0,,neutral
flask-9,Submitted,4,7143,7143,0.0,,neutral
